Name,Studio,Genres
Sket Dance OVA,Tatsunoko Production,"Comedy, Shounen, Slice of Life, Gag, School Club, School Life, Based on a Manga"
Kaiji - Ultimate Survivor,MADHOUSE,"Seinen, Debt, Gambling, High Stakes Games, Mind Games, Psychological, Thriller, Based on a Manga, Mature Themes,, Physical Abuse"
Spiritpact: Bond of The Underworld,Haoliners Animation League,"Action, BL, Shounen-ai, Chinese Animation, Exorcists, Ghosts, Master-Servant Relationship, Supernatural, Based on a Manga"
Neon Genesis Evangelion,GAINAX,"Drama, Mecha, Sci Fi, Conspiracy, Kaijuu, Loneliness, Melancholy, Military, Monsters, Post-apocalyptic, Psychological, Super Robot, Original Work, Emotional Abuse,, Explicit Violence,, Mature Themes,, Suicide"
"The Night is Short, Walk On Girl",Science SARU,"Comedy, Romance, Abstract, Adult Couples, Love Confession, Romantic Comedy, Based on a Novel"
Orange,Telecom Animation Film,"Drama, Mystery, Romance, Shoujo, Death of a Loved One, Melancholy, Mental Illness, Psychological, School Life, Supernatural, Unrequited Love, Based on a Manga, Mature Themes,, Suicide"
Tian Bao Fuyao Lu,Sparkly Key Animation Studio,"BL, Fantasy, Romance, Shounen-ai, Chinese Animation, Based on a Web Novel, CG Animation"
Aggretsuko,Fanworks,"Comedy, Animal Protagonists, Anthropomorphic, Coworkers, Music, Non-Human Protagonists, Sanrio Characters, Work Life, Original Work"
Fanren Xiu Xian Chuan,Original Force,"Fantasy, Chinese Animation, CG Animation"
Xue Ying Lingzhu Zhi Qiyu Pian,Mili Pictures,"Action, Fantasy, Ancient China, Chinese Animation, Based on a Web Novel, CG Animation"
Detective Conan Movie 21: Kara Kurenai no Love Letter,TMS Entertainment,"Drama, Mystery, Shounen, Age Transformation, Detectives, Based on a Manga"
Kuroko's Basketball Movie 1: Winter Cup Highlights -Shadow and Light-,Production I.G,"Shounen, Sports, Basketball, Recap, School Club, Tournaments, Based on a Manga"
YOASOBI: Kaibutsu,Orange,CG Animation
Detective Conan Movie 1: The Time Bombed Skyscraper,TMS Entertainment,"Action, Mystery, Shounen, Age Transformation, Detectives, Thriller, Based on a Manga, Violence"
The Morose Mononokean II,St. Signpost,"Comedy, Fantasy, Shounen, Contemporary Fantasy, Exorcists, Iyashikei, Japanese Mythology, School Life, Supernatural, Youkai, Based on a Manga"
The Garden of Sinners Movie 2: ...And Nothing Heart. (Murder Speculation Part A),ufotable,"Drama, Horror, Mystery, Romance, Overpowered Main Characters, Split Personality, Supernatural, Based on a Light Novel, Violence"
Broken Blade Movie 6: Fortress of Lamentation,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War, Violence"
Hakuouki Movie 1: Wild Dance of Kyoto,Studio DEEN,"Action, Drama, Reverse Harem, Feudal Japan, Historical, Samurai, Based on an Otome Game, Based on a Visual Novel"
Beastars,Orange,"Drama, Fantasy, Romance, Shounen, Animal Protagonists, Anthropomorphic, Non-Human Protagonists, Psychological, School Life, Based on a Manga, CG Animation, Bullying,, Emotional Abuse,, Mature Themes,, Sexual Content,, Violence"
Ride Your Wave,Science SARU,"Drama, Romance, Slice of Life, Adult Couples, Death of a Loved One, Firefighters, Mature Romance, Original Work"
Goblin Slayer,WHITE FOX,"Action, Adventure, Fantasy, Seinen, Dark Fantasy, Guilds, Magic, Medieval, Monsters, Based on a Light Novel, Explicit Sex,, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse"
Death Billiards,MADHOUSE,"Drama, Afterlife, Anime Tamago, Bar, Billiards, High Stakes Games, Play or Die, Psychological, PVP, Shorts, Supernatural, Thriller, Original Work"
D.Gray-man,TMS Entertainment,"Action, Adventure, Shounen, Afterlife, Demons, Europe, Exorcists, Supernatural, Superpowers, Based on a Manga, Animal Abuse,, Mature Themes,, Violence"
Broken Blade Movie 2: The Path of Separation,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War"
Silver Fang,Toei Animation,"Action, Adventure, Shounen, Animal Protagonists, Bears, Dogs, Non-Human Protagonists, Revenge, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes"
Kase-san & Morning Glories,Zexcs,"GL, Romance, Shoujo-ai, Opposites Attract, School Life, Based on a Manga"
Ascendance of a Bookworm OVA,Ajia-do,"Fantasy, Cheats, Isekai, Magic, Medieval, Modern Knowledge, Person in a Strange World, Reincarnation, Short Episodes, Based on a Light Novel"
Pokemon: The Origin,OLM,"Action, Adventure, Fantasy, Shounen, Elemental Powers, Monsters, Proxy Battles, Based on a Video Game"
The Eccentric Family 2,P.A. WORKS,"Comedy, Drama, Fantasy, Slice of Life, Animal Transformation, Contemporary Fantasy, Family Life, Japanese Mythology, Non-Human Protagonists, Urban Fantasy, Youkai, Based on a Novel"
The Anthem of the Heart,A-1 Pictures,"Drama, Coming of Age, Mental Illness, School Life, Supernatural, Original Work"
Free! Dive to the Future: Build-Up of Early Spring!,Animation Do,"Slice of Life, Sports, Swimming, Based on a Light Novel"
Magic Kaito,TMS Entertainment,"Action, Comedy, Drama, Shounen, Secret Identity, Thieves, Based on a Manga"
Detective Conan Movie 12: Full Score of Fear,TMS Entertainment,"Drama, Mystery, Shounen, Age Transformation, Classical Music, Detectives, Music, Music School, School Life, Based on a Manga"
Free! Eternal Summer,Animation Do,"Comedy, Drama, Sports, Childhood Friends, Rivalries, School Club, School Life, Swimming, Based on a Light Novel"
Tamako Love Story,Kyoto Animation,"Romance, Slice of Life, Love Confession, Original Work"
Rurouni Kenshin: Special Techniques,Gallop,"Action, Shounen, Feudal Japan, Samurai, Swordplay, Based on a Manga"
Seitokai Yakuindomo* OVA,GoHands,"Comedy, Shounen, Crude, Newly Co-ed School, Parody, Satire, School Life, Student Council, Based on a 4-Koma Manga, Based on a Manga, Sexual Content"
The Melancholy of Haruhi Suzumiya,Kyoto Animation,"Comedy, Shounen, Breaking the Fourth Wall, School Club, School Life, Based on a Light Novel"
Miss Kobayashi's Dragon Maid: Valentines and Hot Springs! (Please Don't Get Your Hopes Up),Kyoto Animation,"Comedy, Fantasy, Seinen, Slice of Life, Animal Characteristics, Contemporary Fantasy, Dragons, Maids, Monster Girls, Non-Human Protagonists, Urban Fantasy, Based on a Manga"
Noragami OVA,Bones,"Comedy, Shounen, Ghosts, Gods, Japanese Mythology, Non-Human Protagonists, Supernatural, Based on a Manga"
Phantom: Requiem for the Phantom,BEE TRAIN,"Action, Amnesia, Assassins, Criminals, Gangs, Guns, Psychological, Based on a Visual Novel, Nudity,, Violence"
Durarara!! X2: My Heart Is in the Pattern of a Hot Pot,Shuka,"Slice of Life, Food and Beverage, Supernatural, Based on a Light Novel"
The Misfit of Demon King Academy,SILVER LINK.,"Action, Comedy, Fantasy, Demon King, Demons, Magic, Magic School, Non-Human Protagonists, Overpowered Main Characters, Reincarnation, School Life, Based on a Light Novel, Violence"
Free! Dive to the Future,Animation Do,"Sports, Codependency, School Club, Swimming, Based on a Light Novel"
Zombie Land Saga Revenge,MAPPA,"Idols, Music, Supernatural, Zombies, Original Work"
Mob Psycho 100 II: The First Spirits and Such Company Trip - A Journey that Mends the Heart and Heals the Soul,Bones,"Action, Comedy, Shounen, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga"
Real Girl 2nd Season,Hoods Entertainment,"Comedy, Romance, Shoujo, School Life, Based on a Manga"
Kuroko's Basketball: Let's Do That Again,Production I.G,"Shounen, Sports, Basketball, Based on a Manga"
The World is Still Beautiful,Pierrot,"Fantasy, Romance, Shoujo, Age Gap, Arranged Marriage, Lifestyle Change, Royalty, Based on a Manga"
High School DxD BorN,TNK,"Action, Ecchi, Fantasy, Harem, Shounen, Angels, Contemporary Fantasy, Demons, Newly Co-ed School, Non-Human Protagonists, Norse Mythology, School Life, Based on a Light Novel, Nudity,, Sexual Content"
xxxHOLiC Movie: A Midsummer Night's Dream,Production I.G,"Seinen, Japanese Mythology, Supernatural, Based on a Manga"
Is It Wrong to Try to Pick Up Girls in a Dungeon? III,J.C.Staff,"Action, Fantasy, Harem, Dungeon, Guilds, Monsters, RPG, Swordplay, Based on a Light Novel, Mature Themes,, Violence,, Self-Harm"
Girls' Last Tour,WHITE FOX,"Adventure, Drama, Sci Fi, Seinen, Slice of Life, Iyashikei, Melancholy, Orphans, Post-apocalyptic, Based on a Manga"
Date a Live: Encore OVA,Production IMS,"Harem, Romance, Sci Fi, Based on a Light Novel"
Blood Blockade Battlefront & Beyond,Bones,"Action, Sci Fi, Shounen, Episodic, Supernatural, Superpowers, Vampires, Based on a Manga, Violence"
Lucky Star OVA,Kyoto Animation,"Comedy, Shounen, Slice of Life, Gag, Otaku Culture, Based on a 4-Koma Manga, Based on a Manga"
When They Cry: Higurashi,Studio DEEN,"Horror, Mystery, Countryside, Curse, Psychological, School Life, Thriller, Based on a Visual Novel, Emotional Abuse,, Explicit Violence,, Mature Themes,, Physical Abuse,, Domestic Abuse"
Baby Steps,Pierrot,"Shounen, Sports, School Life, Tennis, Tournaments, Based on a Manga"
Final Fantasy VII: Advent Children,Visual Works,"Action, Fantasy, Martial Arts, Swordplay, Based on a Video Game, CG Animation"
Psycho-Pass SS: Case. 3 - Onshuu no Kanata ni,Production I.G,"Sci Fi, Cyberpunk, Dystopia, Noir, Police, Original Work, Explicit Violence,, Nudity"
The Cat Returns,Studio Ghibli,"Fantasy, Animal Protagonists, Animal Transformation, Anthropomorphic, Cats, Contemporary Fantasy, Family Friendly, Non-Human Protagonists, Based on a Manga"
Yumeiro Pâtissière,Studio Hibari,"Fantasy, Shoujo, Baking, Culinary School, Family Friendly, Food and Beverage, School Life, Based on a Manga"
D.Gray-man Hallow,8 Pan,"Action, Adventure, Shounen, Afterlife, Demons, Exorcists, Supernatural, Superpowers, Based on a Manga"
Sword Art Online Movie: Ordinal Scale,A-1 Pictures,"Action, MMORPG, Overpowered Main Characters, Person in a Strange World, PVE, Virtual Reality, Based on a Light Novel, Nudity"
Wushang Shen Di 2nd Season,Ruo Hong Culture,"Action, Fantasy, Ancient China, Chinese Animation, Short Episodes, Based on a Web Novel, CG Animation"
Hungry Days x One Piece,SHAFT,"Commercials, Food and Beverage, Parody, Promotional, School Life, Short Episodes"
Paprika,MADHOUSE,"Sci Fi, Dream World, Hacking, Psychological, Based on a Novel, Nudity"
Revue Starlight Movie,Kinema Citrus,"Drama, Abstract, All-Girls School, Childhood Friends, Showbiz, Original Work, Violence"
Magical Girl Lyrical Nanoha A's,Seven Arcs,"Fantasy, Magical Girl, Seinen, Contemporary Fantasy, Disability, Henshin Heroes, Magic, Urban Fantasy, Original Work"
Liz and the Blue Bird,Kyoto Animation,"Music, School Club, School Life, Based on a Novel"
Thunderbolt Fantasy 3,Pili International Multimedia,"Action, Fantasy, Ancient China, Swordplay, Wuxia, Original Work"
Attack on Titan: Ilse's Notebook,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Violence"
Hakuouki: Dawn of the Shinsengumi Tokuten Disc,Studio DEEN,"Action, Drama, Reverse Harem, Feudal Japan, Historical, Samurai, Short Episodes, Based on an Otome Game, Based on a Visual Novel"
The Garden of Words,CoMix Wave Films,"Drama, Romance, Age Gap, Loneliness, Melancholy, Original Work"
Tsurune,Kyoto Animation,"Sports, Archery, School Club, School Life, Tournaments, Based on a Light Novel"
Lupin III: Part IV,Telecom Animation Film,"Action, Comedy, Criminals, Europe, Italy, Thieves"
Saint Seiya: The Lost Canvas - Meiou Shinwa,TMS Entertainment,"Action, Fantasy, Sci Fi, Shounen, 18th Century, Europe, Gods, Greek Mythology, Hand to Hand Combat, Historical, Non-Human Protagonists, Power Suits, Superpowers, Based on a Manga, Violence"
Anohana: The Flower We Saw That Day Movie,A-1 Pictures,"Drama, Romance, Childhood Friends, Coming of Age, Death of a Loved One, Ghosts, Recap, Supernatural, Original Work"
Outlaw Star,Sunrise,"Action, Adventure, Comedy, Sci Fi, Seinen, Mercenaries, Outer Space, Based on a Manga, Nudity"
Little Witch Academia TV,TRIGGER,"Adventure, Fantasy, Magic, Magic School, School Life, Witches, Original Work"
Magical Girl Lyrical Nanoha The MOVIE 1st,Seven Arcs,"Action, Fantasy, Magical Girl, Contemporary Fantasy, Henshin Heroes, Magic, Recap, Urban Fantasy, Original Work, Mature Themes,, Nudity,, Domestic Abuse"
Glass Mask (2005),TMS Entertainment,"Drama, Romance, Shoujo, Acting, Showbiz, Work Life, Based on a Manga"
"Hora, Mimi ga Mieteru yo! 2",monofilmo,"BL, Comedy, Fantasy, Romance, Shounen-ai, Slice of Life, Age Gap, Animal Characteristics, Animal Transformation, Cats, Contemporary Fantasy, Interspecies Relationship, Manga Industry, Non-Human Protagonists, Orphans, Roommates, Short Episodes, Writers, Based on a Webtoon"
Detective Conan Movie 17: Zekkai no Private Eye,TMS Entertainment,"Action, Mystery, Shounen, Age Transformation, Detectives, Thriller, Based on a Manga"
Sword Art Online: Alicization,A-1 Pictures,"Action, Fantasy, Sci Fi, Medieval, Overpowered Main Characters, Person in a Strange World, RPG, Virtual Reality, Based on a Light Novel, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Abuse"
The Irregular at Magic High School: Reminiscence Arc,8-Bit,"Action, Drama, Sci Fi, Shounen, Magic, Siblings, Supernatural, Based on a Light Novel"
Kill La Kill,TRIGGER,"Action, Comedy, Ecchi, Sci Fi, Aliens, Animeism, Conspiracy, Rebellions, School Life, Superpowers, Swordplay, Original Work, Mature Themes,, Physical Abuse,, Sexual Abuse,, Violence,, Domestic Abuse"
Girls und Panzer das Finale: Part 1,Actas,"Action, Military, Military School, School Club, School Life, Tournaments, Original Work"
Akame ga Kill!,WHITE FOX,"Action, Fantasy, Shounen, Assassins, Dark Fantasy, Lifestyle Change, Rebellions, Urban Fantasy, Vigilantes, Based on a Manga, Explicit Violence"
Yuru Yuri San☆Hai!,TYO Animations,"Comedy, GL, Seinen, Shoujo-ai, Slice of Life, School Club, School Life, Based on a Manga"
Alderamin on the Sky,MADHOUSE,"Action, Fantasy, Seinen, Guns, Military, War, Based on a Light Novel"
Aria the Natural,Hal Film Maker,"Sci Fi, Shounen, Slice of Life, Apprenticeship, Iyashikei, Ocean, Work Life, Based on a Manga"
Detective Conan Movie 7: Crossroad in the Ancient Capital,TMS Entertainment,"Mystery, Shounen, Age Transformation, Detectives, Thieves, Based on a Manga"
Ghost Hunt,J.C.Staff,"Horror, Shoujo, Curse, Detectives, Ghost Hunters, Supernatural, Based on a Light Novel"
The Daily Life of the Immortal King 2,Haoliners Animation League,"Comedy, Fantasy, Chinese Animation, Cultivation, Overpowered Main Characters, School Life, Urban Fantasy, Based on a Web Novel"
Food Wars! The Fifth Plate,J.C.Staff,"Comedy, Ecchi, Shounen, Cooking, Culinary School, Food and Beverage, Based on a Manga"
Love Live! The School Idol Movie,Sunrise,"Idols, Music"
Hi Score Girl II,J.C.Staff,"Comedy, Seinen, Historical, Video Game Industry, Based on a Manga, CG Animation"
Code Geass: Lelouch of the Rebellion Special Edition - Black Rebellion,Sunrise,"Mecha, Sci Fi, Real Robot, Recap"
Baka and Test - Summon the Beasts 2,SILVER LINK.,"Comedy, Chibi, Magic, Magic School, School Life, Based on a Light Novel"
Kakushigoto,Ajia-do,"Comedy, Drama, Shounen, Slice of Life, Childcare, Manga Industry, Single Parent, Based on a Manga"
The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,Studio Palette,"Action, Fantasy, Assassins, Cheats, Dark Fantasy, Isekai, Magic, Modern Knowledge, Nobility, Person in a Strange World, Reincarnation, Based on a Light Novel, Explicit Violence"
Lupin III: The Castle of Cagliostro,TMS Entertainment,"Action, Seinen, Criminals, Thieves, Based on a Manga"
Kuroko's Basketball OVA,Production I.G,"Comedy, Shounen, Sports, Basketball, School Life, Based on a Manga"
Macross Frontier,SATELIGHT,"Action, Mecha, Romance, Sci Fi, Aliens, Idols, Love Triangle, Military, Music, Outer Space, Real Robot, Space Opera, Transforming Mecha, Original Work"
Nura: Rise of the Youkai Clan OVA,Studio DEEN,"Japanese Mythology, Youkai"
The Story of Saiunkoku,MADHOUSE,"Drama, Fantasy, Reverse Harem, Romance, Shoujo, Political, Royalty, Social Gap, Based on a Light Novel"
"So I'm a Spider, So What?",Millepensee,"Action, Adventure, Fantasy, Dungeon, Isekai, Monsters, Non-Human Protagonists, Reincarnation, RPG, Weak to Strong, Based on a Light Novel, Violence"
Mobile Suit Gundam Wing: Endless Waltz,Sunrise,"Action, Mecha, Sci Fi, Outer Space"
Legend of the Galactic Heroes: Spiral Labyrinth,Artland,"Drama, Sci Fi, Military, Outer Space, Political, Space Opera, War, Based on a Novel"
Golden Kamuy,Geno Studio,"Adventure, Drama, Historical, Military, Treasure Hunters, Based on a Manga, Violence"
Major 2nd: Second Season,OLM,"Sports, Baseball, Based on a Manga"
Sword Art Online,A-1 Pictures,"Action, Adventure, Fantasy, Sci Fi, Dungeon, High Stakes Games, MMORPG, Overpowered Main Characters, PVE, PVP, RPG, Trapped in a Video Game, Virtual Reality, Based on a Light Novel, Mature Themes,, Physical Abuse,, Sexual Abuse,, Suicide"
Your lie in April: Moments,A-1 Pictures,"Drama, Shounen, Music, Tournaments, Based on a Manga"
Kengan Ashura 2,LARX Entertainment,"Action, Drama, Hand to Hand Combat, Martial Arts, Tournaments, Based on a Manga, CG Animation, Explicit Violence,, Mature Themes,, Physical Abuse"
Detective Conan,V1 Studio,"Drama, Mystery, Shounen, Age Transformation, Crime, Detectives, Episodic, Police, Secret Identity, Based on a Manga, Violence"
Detective Conan OVA 9: The Stranger of 10 Years,TMS Entertainment,"Shounen, Age Transformation, Detectives, School Life, Time Travel, Based on a Manga"
The Witcher: Nightmare of the Wolf,Studio Mir,"Action, Fantasy, Dark Fantasy, Korean Animation, Magic, Medieval, Monsters, Based on a Novel, Explicit Violence,, Nudity"
"Clannad: Another World, Kyou Chapter",Kyoto Animation,"Drama, Romance, Based on a Visual Novel"
Tsukigakirei,feel.,"Romance, Coming of Age, Iyashikei, Love Triangle, School Life, Original Work"
Radiant 2nd Season,Lerche,"Action, Adventure, Fantasy, Based on a Manga"
My Senpai is Annoying,Doga Kobo,"Comedy, Romance, Seinen, Adult Couples, Coworkers, Iyashikei, Mature Romance, Romantic Comedy, Salaryman, Work Life, Based on a Manga"
Dragon Ball,Toei Animation,"Action, Adventure, Comedy, Shounen, Journey to the West, Martial Arts, Overpowered Main Characters, Based on a Manga, Nudity"
My Hero Academia: Make It! Do-or-Die Survival Training,Bones,"Action, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga"
Slayers Try,E&G Films,"Action, Adventure, Fantasy, Medieval, Based on a Light Novel"
Shouwa Genroku Rakugo Shinjuu OVA,Studio DEEN,"Drama, Josei, Apprenticeship, Historical, Lifestyle Change, Rakugo, Based on a Manga"
Code Geass: Lelouch of the Rebellion II - Transgression,Sunrise,"Mecha, Sci Fi, Real Robot, Secret Identity, Terrorism, Original Work, Violence"
Hitorijime My Hero,Encourage Films,"BL, Comedy, Drama, Romance, Shounen-ai, LGBT Themes, School Life, Student-Teacher Relationship, Based on a Manga"
Bleach,Pierrot,"Action, Shounen, Afterlife, Shinigami, Supernatural, Superpowers, Swordplay, Based on a Manga, Violence"
Hikaru no Go: Journey to the North Star Cup,Pierrot,"Shounen, Board Games, Ghosts, Supernatural, Tournaments, Based on a Manga"
K-On!!: Plan!,Kyoto Animation,"Comedy, Seinen, Slice of Life, Based on a 4-Koma Manga, Based on a Manga"
Pokemon: GOTCHA!,Bones,"Adventure, Fantasy, Monsters, Based on a Video Game"
Wushang Shen Di,Ruo Hong Culture,"Action, Fantasy, Ancient China, Chinese Animation, Short Episodes, Based on a Web Novel, CG Animation"
Detective Conan Movie 9: Strategy Above the Depths,TMS Entertainment,"Drama, Mystery, Shounen, Age Transformation, Detectives, Ocean, Based on a Manga"
Tentai Senshi Sunred 2,AIC ASTA,"Comedy, Seinen, Gag, Monsters, Parody, Superheroes, Based on a Manga"
City Hunter 2,Sunrise,"Action, Comedy, Drama, Shounen, Episodic, Guns, Based on a Manga"
Hidamari Sketch: Sae & Hiro's Graduation Arc,SHAFT,"Seinen, Slice of Life, Art, Art School, Boarding House, Neighbors, School Life, Based on a 4-Koma Manga, Based on a Manga"
Broken Blade Movie 1: The Time of Awakening,Production I.G,"Action, Fantasy, Mecha, Magic, Military, War"
Emma: A Victorian Romance - Second Act,Ajia-do,"Drama, Romance, Seinen, 19th Century, Adult Couples, England, Europe, Historical, Maids, Mature Romance, Social Gap, Work Life, Based on a Manga"
Full Metal Panic! The Second Raid: A Relatively Leisurely Day in the Life of a Fleet Captain,Kyoto Animation,"Comedy, Shounen, Military, Submarine, Tsundere"
Planetarian Movie: Hoshi no Hito,David Production,"Sci Fi, Androids, Astronomy, Dystopia, Non-Human Protagonists, Post-apocalyptic, Robots, Based on a Visual Novel"
Shadows House,CloverWorks,"Drama, Horror, Seinen, Mansion, Supernatural, Based on a Manga"
The Tibetan Dog,MADHOUSE,"Drama, Countryside, Dogs, Family Friendly, Pets, Original Work"
Okko's Inn Movie,DLE,"Countryside, Hotels and Inns, Lifestyle Change, Orphans, Supernatural, Based on a Light Novel"
ID:INVADED,NAZ,"Mystery, Sci Fi, Detectives, Psychological, Psychopaths, Serial Killers, Thriller, Original Work, Explicit Violence,, Mature Themes,, Suicide"
GaoGaiGar Final,Sunrise,"Action, Adventure, Mecha, Sci Fi, Aliens, Combining Mecha, Cyborgs, Superpowers, Transforming Mecha, Original Work"
The Prince of Tennis II,M.S.C.,"Shounen, Sports, Tennis, Based on a Manga"
Hanasaku Iroha,P.A. WORKS,"Drama, Romance, Slice of Life, Coming of Age, Countryside, Coworkers, Hotels and Inns, Lifestyle Change, Work Life, Original Work, Mature Themes,, Physical Abuse,, Domestic Abuse"
Ashita no Joe 2,TMS Entertainment,"Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Based on a Manga"
Backflip!!,Zexcs,"Sports, Boarding House, Gymnastics, noitaminA, School Club, School Life, Original Work"
KonoSuba – God’s blessing on this wonderful world! OVA,Studio DEEN,"Comedy, Ecchi, Fantasy, Gag, Gods, Isekai, Magic, NEET, Non-Human Protagonists, Parody, Person in a Strange World, RPG, Based on a Light Novel"
One Piece: Episode of Luffy - Hand Island no Bouken,Toei Animation,"Action, Adventure, Fantasy, Shounen, Island, Pirates, Superpowers, Based on a Manga"
Wu Geng Ji 2nd Season,Sparkly Key Animation Studio,"Action, Fantasy, Ancient China, Chinese Animation, Based on a Manga, CG Animation"
Fate/Kaleid Liner Prisma Illya Movie: Vow in the Snow,SILVER LINK.,"Action, Fantasy, Shounen, Contemporary Fantasy, Magic, Superpowers, Urban Fantasy, Based on a Manga, Violence"
Fruits Basket,Studio DEEN,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Death of a Loved One, Dysfunctional Families, Love Triangle, Orphans, Roommates, Based on a Manga"
Dou Po Cangqiong,Foch,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
Vampire Hunter D: Bloodlust,MADHOUSE,"Action, Adventure, Mercenaries, Non-Human Protagonists, Post-apocalyptic, Star-Crossed Lovers, Vampires, Based on a Novel, Explicit Violence,, Nudity"
Pretty Guardian Sailor Moon Crystal (2016),Toei Animation,"Action, Fantasy, Magical Girl, Romance, Shoujo, Contemporary Fantasy, Elemental Powers, Henshin Heroes, Magic, Reincarnation, Sentai, Tokusatsu, Urban Fantasy, Based on a Manga"
A Day Before Us,LICO,"Romance, Korean Animation, Short Episodes, Original Work"
Bloom Into You,TROYCA,"Drama, GL, Romance, Shoujo-ai, Shounen, LGBT Themes, Love Triangle, School Life, Senpai-Kouhai Relationship, Student Council, Based on a Manga"
Xingchen Bian 3rd Season,Foch,"Action, Fantasy, Chinese Animation, Xianxia, Based on a Web Novel, CG Animation"
91 Days,Shuka,"Drama, America, Animeism, Crime, Criminals, Death of a Loved One, Gangs, Guns, Historical, Mafia, Revenge, Thriller, Original Work, Explicit Violence,, Mature Themes,, Physical Abuse,, Sexual Content"
Rakshasa Street,L2 Studio,"Action, Chinese Animation, Supernatural, Based on a Manga"
Seitokai Yakuindomo OVA,GoHands,"Comedy, Shounen, Crude, Newly Co-ed School, Parody, School Life, Student Council, Based on a 4-Koma Manga, Based on a Manga, Sexual Content"
Detective Conan Movie 24: The Scarlet Bullet,V1 Studio,"Mystery, Shounen, Detectives, Based on a Manga"
Drifters: Special Edition,Hoods Entertainment,"Action, Seinen, Historical, Person in a Strange World, Rebellions, Samurai, Based on a Manga, Explicit Violence"
Attack on Titan Movie 2: The Wings of Freedom,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Overpowered Main Characters, Post-apocalyptic, Recap, Based on a Manga, Cannibalism,, Violence"
City Hunter 3,Sunrise,"Action, Comedy, Drama, Shounen, Episodic, Guns, Based on a Manga"
Blast of Tempest,Bones,"Adventure, Drama, Mystery, Romance, Shounen, Animeism, Conspiracy, Island, Magic, Revenge, Based on a Manga"
Blue Exorcist Movie,A-1 Pictures,"Action, Fantasy, Shounen, Contemporary Fantasy, Demons, Exorcists, Supernatural, Urban Fantasy, Based on a Manga"
Digimon Adventure Tri. Movie 3: Confession,Toei Animation,"Action, Drama, Sci Fi, Monsters"
Seraph of the End,WIT Studio,"Action, Drama, Horror, Shounen, Demons, Pandemic, Post-apocalyptic, Supernatural, Vampires, Based on a Manga, Violence"
Yuan Long,CG Year,"Action, Adventure, Fantasy, Chinese Animation, Based on a Web Novel, CG Animation"
Ling Jian Zun 3rd Season,Soyep,"Action, Fantasy, Ancient China, Chinese Animation, Cultivation, Short Episodes, Based on a Web Novel, CG Animation"
Hetalia: The Beautiful World,Studio DEEN,"Comedy, Anthropomorphic, Chibi, Gag, Historical, Parody, Political, Satire, Short Episodes, Based on a Manga"
The Royal Tutor,Bridge,"Comedy, Shounen, Chibi, Historical, Royalty, Siblings, Teaching, Tutors, Based on a Manga, Mature Themes,, Physical Abuse"
Lupin III Special 21: Lupin III vs Detective Conan,TMS Entertainment,"Action, Comedy, Crossover, Detectives, Thieves, Based on a Manga"
You and Me. 2,J.C.Staff,"Comedy, Shounen, Slice of Life, Childhood Friends, Iyashikei, School Life, Based on a Manga"
Hetalia: World Series,Studio DEEN,"Comedy, Anthropomorphic, Chibi, Gag, Historical, Parody, Political, Satire, Short Episodes, Based on a Manga"
Persona 3 the Movie 4: Winter of Rebirth,A-1 Pictures,"Action, Fantasy, Supernatural, Based on a Video Game"
Love Live! School Idol Project 2nd Season,Sunrise,"All-Girls School, Idols, Music, School Club, School Life"
Yumeiro Pâtissière SP Professional,Studio Hibari,"Fantasy, Shoujo, Baking, Culinary School, Family Friendly, Food and Beverage, School Life, Based on a Manga"
Food Wars! Shokugeki no Souma OVA,J.C.Staff,"Ecchi, Shounen, Slice of Life, Food and Beverage, Based on a Manga"
K-On! Live House!,Kyoto Animation,"Comedy, Seinen, Music, Based on a 4-Koma Manga, Based on a Manga"
Big Windup!,A-1 Pictures,"Comedy, Drama, Seinen, Sports, Baseball, Codependency, Mental Illness, School Club, School Life, Tournaments, Based on a Manga, Bullying,, Emotional Abuse"
Cardcaptor Sakura: Clear Card Prologue - Sakura and the Two Bears,MADHOUSE,"Fantasy, Magical Girl, Henshin Heroes, Magic, Based on a Manga"
Ace of the Diamond: Second Season OVA,MADHOUSE,"Shounen, Sports, Baseball, School Club, Based on a Manga"
"Love, Chunibyo & Other Delusions!",Kyoto Animation,"Comedy, Drama, Romance, School Life, Based on a Light Novel"
Interviews with Monster Girls,A-1 Pictures,"Comedy, Seinen, Monster Girls, Monsters, Monster School, School Life, Supernatural, Vampires, Based on a Manga"
